position,times,team,Name,gender,AgeCat,clubnumber,Club name,Website,finishPosition
1,0:25:27,2M,Jonathon Downey,M,U20,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/,2
2,0:32:47,6M,Ross Noble,M,U20,6,Cambuslang Harriers,https://cambuslangharriers.org/,57
