position,times,team,Name,gender,AgeCat,clubnumber,Club name,Website
1,0:04:08,37M,,M,U11,37,Law & District AAC,http://www.lawaac.co.uk/
2,0:04:09,8M,Morris Mitchell,M,U11,8,Bellahouston Harriers,http://www.bellahoustonharriers.co.uk/
3,0:04:10,7M,Murray McKerracher,M,U11,7,Giffnock North AC,https://www.giffnocknorth.co.uk/
4,0:04:18,30M,Eilijah Taylor,M,U11,30,Greenock Glenpark Harriers,https://greenockglenparkharriers.com/
5,0:04:20,7M,Kyle Hartley,M,U11,7,Giffnock North AC,https://www.giffnocknorth.co.uk/
6,0:04:22,37M,,M,U11,37,Law & District AAC,http://www.lawaac.co.uk/
7,0:04:23,14M,,M,U11,14,Ayr Seaforth AC,https://www.ayrseaforth.co.uk/
8,0:04:24,7M,Andrew Agnew,M,U11,7,Giffnock North AC,https://www.giffnocknorth.co.uk/
9,0:04:27,7M,Jake Pentland,M,U11,7,Giffnock North AC,https://www.giffnocknorth.co.uk/
10,0:04:29,14M,,M,U11,14,Ayr Seaforth AC,https://www.ayrseaforth.co.uk/
11,0:04:29,37M,,M,U11,37,Law & District AAC,http://www.lawaac.co.uk/
12,0:04:29,7M,Nihal Lindsay,M,U11,7,Giffnock North AC,https://www.giffnocknorth.co.uk/
13,0:04:29,10M,Henoch Woldeselassie,M,U11,10,Shettleston Harriers,http://shettlestonharriers.org.uk/
14,0:04:34,37M,,M,U11,37,Law & District AAC,http://www.lawaac.co.uk/
15,0:04:34,14M,,M,U11,14,Ayr Seaforth AC,https://www.ayrseaforth.co.uk/
16,0:04:34,50M,,M,U11,50,Strathaven Striders,
17,0:04:34,1M,GEORGE JAMES,M,U11,1,East Kilbride AC,http://www.ekac.org.uk/
18,0:04:34,1M,LUKE McCORMICK,M,U11,1,East Kilbride AC,http://www.ekac.org.uk/
19,0:04:34,40M,Crane Oscar,M,U11,40,Motherwell AC,https://motherwellac.com/
20,0:04:34,8M,Jonah Bryers Clark,M,U11,8,Bellahouston Harriers,http://www.bellahoustonharriers.co.uk/
21,0:04:38,2M,Nicholas Sharpe,M,U11,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/
22,0:04:40,48M,Finn McNulty,M,U11,48,Springburn Harriers,https://www.springburnharriers.co.uk/
23,0:04:40,37M,,M,U11,37,Law & District AAC,http://www.lawaac.co.uk/
24,0:04:40,11M,,M,U11,11,Airdrie Harriers,http://airdrieharriers.org/
25,0:04:44,37M,,M,U11,37,Law & District AAC,http://www.lawaac.co.uk/
26,0:04:44,6M,Fionn Blaney,M,U11,6,Cambuslang Harriers,https://cambuslangharriers.org/
27,0:04:44,7M,Mark Tyler,M,U11,7,Giffnock North AC,https://www.giffnocknorth.co.uk/
28,0:04:44,1M,SAMUEL BALLENTINE,M,U11,1,East Kilbride AC,http://www.ekac.org.uk/
29,0:04:46,10M,Joseph Patterson,M,U11,10,Shettleston Harriers,http://shettlestonharriers.org.uk/
30,0:04:49,2M,Rory Fitzgerald,M,U11,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/
