position,times,team,Name,gender,AgeCat,clubnumber,Club name,Website
1,0:16:47,7M,,M,U17,7,Giffnock North AC,https://www.giffnocknorth.co.uk/
2,0:17:25,6M,,M,U17,6,Cambuslang Harriers,https://cambuslangharriers.org/
3,0:17:47,6M,,M,U17,6,Cambuslang Harriers,https://cambuslangharriers.org/
4,0:17:58,37M,,M,U17,37,Law & District AAC,http://www.lawaac.co.uk/
5,0:18:04,1M,,M,U17,1,East Kilbride AC,http://www.ekac.org.uk/
6,0:18:05,37M,,M,U17,37,Law & District AAC,http://www.lawaac.co.uk/
7,0:18:10,1M,,M,U17,1,East Kilbride AC,http://www.ekac.org.uk/
8,0:19:09,14M,,M,U17,14,Ayr Seaforth AC,https://www.ayrseaforth.co.uk/
9,0:19:19,10M,Joseph Reilly,M,U17,10,Shettleston Harriers,http://shettlestonharriers.org.uk/
10,0:19:36,14F,,F,U17,14,Ayr Seaforth AC,https://www.ayrseaforth.co.uk/
11,0:19:55,14M,,M,U17,14,Ayr Seaforth AC,https://www.ayrseaforth.co.uk/
12,0:20:26,1F,,F,U17,1,East Kilbride AC,http://www.ekac.org.uk/
13,0:21:00,6M,,M,U17,6,Cambuslang Harriers,https://cambuslangharriers.org/
14,0:21:50,2F,,F,U17,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/
15,0:22:05,6F,,F,U17,6,Cambuslang Harriers,https://cambuslangharriers.org/
16,0:22:07,1F,,F,U17,1,East Kilbride AC,http://www.ekac.org.uk/
17,0:22:30,2M,,M,U17,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/
18,0:22:50,11M,,M,U17,11,Airdrie Harriers,http://airdrieharriers.org/
19,0:24:06,2F,,F,U17,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/
20,0:24:42,11M,,M,U17,11,Airdrie Harriers,http://airdrieharriers.org/
21,0:24:50,2F,,F,U17,2,Kilmarnock H&AC,http://www.kilmarnockharriers.com/
22,0:25:24,11M,,M,U17,11,Airdrie Harriers,http://airdrieharriers.org/
23,0:25:34,1F,,F,U17,1,East Kilbride AC,http://www.ekac.org.uk/
